transaction_id,store_id,sale_date,product_category,quantity,supplier,region,unit_cost,unit_price,inventory_level,labour_hours,labour_cost
T000224,S01,22-Mar-2025,Beauty,8,GlowWorks,East,17.24,37.82,78,4.18,103.81
T002585,S19,14-Apr-2025,Sports,6,ActivePro,South,53.28,103.18,49,5.15,116.63
T001539,S22,2025-04-02 00:00:00,Home,1,BudgetSource,South,47.42,95.75,38,5.5,133.5
T002230, store_13 ,2025-06-07 00:00:00,SPORTS,3,ActivePro,East,53.45,100.78 CAD,21,3.92,$114.26
T002136,S26,06/29/2025,Apparel,1,StyleHub,West,30.79,61.27,26,2.93,84.86 CAD
T001620,S17,2025-03-14 00:00:00,Beauty,2,GlowWorks,North,15.33,$32.92,133,5.74,122.18
T001631,S07,2025-05-31 00:00:00,Electronics,4,NorthStar,North,262.13,367.99,50,4.38,111.26
T000900,S06,2025-03-25 00:00:00,Beauty,6,GlowWorks,East,18.97,44.13,128,3.68,99.03
T001519,S04,2025-03-17 00:00:00,Apparel,3,StyleHub,East,,79.33,42,3.61,113.62
T002817,S29,25-Apr-2025,Beauty,6,GlowWorks,West,18.75,43.89,48,4.25,127.2
T002882,S19,2025-02-08 00:00:00,Food,3,FreshFarm,South,7.04,10.79,95,6.71,154.98
T002359,S17,2025-06-22 00:00:00,Grocery,6,FreshFarm,North,$8.99,14.32,97,5.52,126.16
T000502,Store-08,04-May-2025,Electronics,3,NorthStar,South,240.48,306.7,153,4.73,118.83
T001647,S23,2025-02-06 00:00:00,BEAUTY,2,GlowWorks,South,20.41,47.16,116,3.57,103.46
T000799,S13,not available,Apparel,2,StyleHub,East, 31.45 ,69.58,81,4.93,114.58
T001443,S02,2025-02-05 00:00:00,Electronics,2,NorthStar,South,$231.42,312.01,103,5.84,155.43
T000089,29,01/19/2025,Electronics,1,NorthStar,West,235.43,312.45,32,4.54,143.44
T000893,S27,2025-05-22 00:00:00,Beauty,1,glowworks,West,18.75,41.65,42,4.98,137.68
T001315,S06,2025-04-11 00:00:00, Electronics ,3,NorthStar,East,235.94,312.92,83,4.8,101.63
T001777,S06,2025-04-16 00:00:00,Beauty,1,GlowWorks,East,17.26,39.47,110,4.72,128.29
T001001,S09,2025-01-30 00:00:00,Grocery,9,FreshFarm,East,7.33,10.72,110,5.91,125.63
T000042,S12,2025-05-10 00:00:00,Grocery,4,FreshFarm,South,9.27,13.51,154,4.22,90.92
T000076,S20,2025-02-24 00:00:00,Electronics,4,NorthStar,South,240.26,297.57,35,4.9,95.93
T001384,S18,2025-02-09 00:00:00,Sports,3,ActivePro,West,51.92,117.18,59,7.53,185.88
T000431,S02,2025-06-02 00:00:00,Apparel,2,StyleHub,South,27.89,57.69 CAD,123,unknown,147.45
T001008,S15,2025-05-04 00:00:00,Grocery,5,FreshFarm,East,7.28,10.42,131,4.78,134.24
T002917,S05,2025-06-22 00:00:00,Home,2,BudgetSource,East,42.45,$75.79,52,5.66,142.08
T000317,S21,06/03/2025,Electronics,3,NorthStar,North,276.17,363.18,82,3.67,90.0
T000231,S09,02/25/2025,Electronics,3,NorthStar,East,258.35,368.22,47,2.58,61.09
T000659,S25,2025-02-10 00:00:00,Food,2,FreshFarm,West,8.9,15.72,34,4.89,140.31
T002070,S17,2025-06-09 00:00:00,Apparel,2,StyleHub,North,27.74,59.5,148,2.26,47.36
T000512,S14,2025-04-19 00:00:00,Electronics,7,NorthStar,West,245.84,310.28,29,5.41,156.85
T000077,S10,2025-03-09 00:00:00,Apparel,0,StyleHub,South,25.35,54.35,19,4.56,109.49
T002615,S22,2025-06-21 00:00:00,Electronics,1,NorthStar,South,295.93,429.44,68,5.14,$157.18
T002171,S08,2025-05-20 00:00:00,ELECTRONIC,4,NorthStar,South,213.0,298.74,149,5.32,142.04
T001037,S02,2025-03-06 00:00:00,Grocery,3,FreshFarm,South,8.73,12.74 CAD,38,5.78,140.78
T002433,S27,2025-05-07 00:00:00,Apparel,2,StyleHub,West,28.85,56.37,0,5.7,154.62
T001693, store_08 ,2025-01-28 00:00:00,Electronics,1,NorthStar,South,nan,247.22,101,6.15,165.26
T000242,S03,2025-05-01 00:00:00,Grocery,2,FreshFarm,North,7.01,$12.30,51,3.4,76.77
T002035,S25,2025-03-06 00:00:00,HOME,2,BudgetSource,West,55.74,111.58,20,3.15,96.71
T000019,S02,2025-04-12 00:00:00,Home,3,BudgetSource,South,51.47,91.54,17,4.56,143.75
T002183,S21,2025-01-26 00:00:00,Apparel,1,StyleHub,North,26.77 CAD,54.73 CAD,139,4.46,86.16
T000164,S17,2025-06-29 00:00:00,Electronics,2,northstar,North,236.77,338.81,112,2.6,62.94
T002781,S04,2025-01-15 00:00:00,HOME,2,BudgetSource,East,42.01,80.06,136,4.17,114.5
T002332,S08,2025-01-15 00:00:00,Home,1,BudgetSource,South,42.85 CAD,89.66,139,3.62,89.48
T001135,S11,2025-03-02 00:00:00,GROCERIES,1,FreshFarm,South,7.67,11.81,111,4.21,93.07
T000801,S22,2025-02-23 00:00:00,Apparel,5,StyleHub,South,31.68,58.71,104,4.11,96.0
T000342,S05,2025-04-16 00:00:00,Sports,2,activepro,East,40.64,82.2,149,2.72,70.95 CAD
T001044,S17,2025-05-17 00:00:00,Electronics,2,NorthStar,North,237.31,321.06,85,4.74,109.54
T001225,S04,01-Apr-2025,Home,7,BudgetSource,East,unknown,70.03,145,3.8,85.28
T000332,S01,2025-01-10 00:00:00,HOME,4,BudgetSource,East,44.88,92.67,121,4.57,121.3
T001024,S20,2025-04-04 00:00:00,Beauty,-3,GlowWorks,South,21.37,49.36,95,4.42,126.48
T002226,S11,2025-03-29 00:00:00,Beauty,6,GlowWorks,South,15.74,38.16,49,4.25,102.84
T001086,S01,2025-06-22 00:00:00,sports,2,activepro,East,56.99,113.08 CAD,104,4.06,97.28
T001990,S17,2025-05-21 00:00:00,Grocery,9,FreshFarm,North,7.71,11.37,124,5.23,136.88
T002381,S21,2025-01-21 00:00:00,grocery,1,FreshFarm,North,8.81,13.04,138,3.06,97.85
T000928,S18,2025-03-30 00:00:00,Electronics,1,NorthStar,West,207.02,258.92,13,4.31,149.5
T000027, S26 ,2025-01-02 00:00:00,Home,2,BudgetSource,West,45.17,91.68,26,5.26,183.36
T001830,S04,2025-04-11 00:00:00,Electronic,1,NorthStar,East,260.64,330.54,146,4.53,96.95
T001226,S07,2025-06-18 00:00:00,Beauty,2,GlowWorks,North,19.12,46.12,68,-6.09,149.36
T001734,S22,2025-03-04 00:00:00,Beauty,3,GlowWorks,South,18.84,44.63,31,3.94,105.43
T000843,S02,2025-06-16 00:00:00,Home Goods,1,BudgetSource,South,unknown,73.92,19,3.83,96.85
T002430,S08,2025-01-04 00:00:00,Electronics,2,NorthStar,South,183.53,255.78,114,3.96,101.31
T002393,S02,2025-06-26 00:00:00,Grocery,7,FreshFarm,South,7.71,11.0,119,3.67,108.74
T000615,S01,2025-05-01 00:00:00,Sports,4,ActivePro,East,51.56,88.07,117,2.23,55.16
T001084,S06,2025-02-21 00:00:00,Electronics,4,NorthStar,East,204.45, 310.65 ,154,4.0,100.01
T000391,S28,2025-04-06 00:00:00,Apparel,6,StyleHub,West,26.02,54.47,54,3.87,131.94 CAD
T001030,S16,2025-05-10 00:00:00,Electronics,4,NorthStar,South,240.36,342.95,80,4.64,146.23
T000693,S04,2025-04-06 00:00:00,Grocery,1,FreshFarm,East,8.01,13.7,-16,4.12,100.27
T000724,S05,2025-01-30 00:00:00,Grocery,3,FreshFarm,East,7.26,10.77,88,3.63,93.65
T000305,S15,2025-04-27 00:00:00,Home,7,BudgetSource,East,46.82,95.03,69,5.15,116.88
T000315,S26,2025-06-10 00:00:00,Beauty,2,GlowWorks,West,18.9,41.66,50,unknown,169.98
T000709,S27,2025-06-28 00:00:00,Apparel,1,StyleHub,West,27.61,59.17,23,5.27,143.67
T001160,S10,2025-02-14 00:00:00,Home,5,BudgetSource,South,53.23,96.29,111,4.25,$96.14
T000809,S16,2025-02-17 00:00:00,Grocery,1,FreshFarm,South,7.9,$13.31,12,2.96,61.86
T002301,Store-04,2025-05-18 00:00:00,Home,2,BudgetSource,East,50.43,$99.26,,5.4,129.02
T001263,S30,2025-03-04 00:00:00,Grocery,5,FreshFarm,West,8.64,12.98,7,4.69,161.53
T001482,S22,2025-06-04 00:00:00,Beauty,9,GlowWorks,South,20.91 CAD,51.73,73,3.79,108.75
T001162,S14,2025-02-05 00:00:00,Grocery,2,FreshFarm,West,8.08 CAD,13.25,36,3.71,124.62
T001985,S14,01-Jun-2025,Electronic,2,NorthStar,West,319.05,424.08,52,2.14,69.84
T000921,S28,2025-01-14 00:00:00,Apparel,1,StyleHub,West,25.37,49.94,28,4.84,$138.32
T002049,S17,2025-02-04 00:00:00,Home,2,BudgetSource,North,40.82,79.3,149,3.53,89.19
T000033,S29,2025-03-17 00:00:00,Apparel,3,StyleHub,West,32.53,62.2,21,6.14,199.95
T001379,S01,2025-05-19 00:00:00,Electronics,4,NorthStar,East,193.66,262.13,140,6.69,158.99
T000940,S13,2025-06-13 00:00:00,Grocery,1,FreshFarm,East,7.48,12.5,29,5.11,144.05
T001743,S16,2025-02-14 00:00:00,Home,4,BudgetSource,South,51.99,92.91,110,4.31,103.06
T000177,S16,2025-01-23 00:00:00,Grocery,4,FreshFarm,South,$7.63,11.79,133,3.1,$75.43
T001751,S27,2025-05-04 00:00:00,Grocery,2,FRESHFARM,West,8.2,13.41,8,5.38,140.08
T001682,S24,2025-03-14 00:00:00,Home,3,BudgetSource,West,42.83,81.31,0,4.63,151.65
T002166,S28,2025-04-03 00:00:00,Home,7,BudgetSource,West,49.78,$95.82,6,3.53,89.3
T002936,S20,2025-03-11 00:00:00,Clothing,2,StyleHub,South,$28.28,58.0,40,3.08,99.92
T001524,S06,2025-04-23 00:00:00,Apparel,1,StyleHub,East,unknown,75.8,130,2.61,81.42
T002115,S10,2025-04-10 00:00:00,Apparel,2,StyleHub,South,28.03,49.46,104,4.25,105.65
T001772,S23,2025-05-13 00:00:00,Clothing,1,StyleHub,South,27.7,59.32,100,5.1,119.59
T002265,S03,2025-03-29 00:00:00,Electronics,2,NorthStar,North,282.17,384.37,62,4.84,136.24 CAD
T002402,S09,2025-03-17 00:00:00,Grocery,-2,FreshFarm,East,8.41,13.3,64,2.58,58.22
T000561,S13,2025-06-05 00:00:00,Grocery,5,FreshFarm,East,8.71,13.48,93,3.57,$84.11
T000264,S18,2025-04-24 00:00:00,Electronics,1,northstar,West,274.63,346.71,42,4.9,157.88
T001009,S17,2025-05-23 00:00:00,Beauty,1,GlowWorks,North,20.86,46.74,29,3.01,72.94
T001607,S12,2025-06-10 00:00:00,Electronics,1,NorthStar,South,250.53,325.11,107,5.69,136.22
T002108, S08 ,2025-04-23 00:00:00,Beauty,6,GlowWorks,South,19.25,42.61,47,4.61,108.42
T002704,S04,2025-05-18 00:00:00,Home,1,BudgetSource,East,50.54,96.12,30,3.81,85.46
T002871,S06,2025-05-03 00:00:00,Beauty,4,GlowWorks,East,17.97,$39.32,99,4.8,115.14
T002034,S17,2025-02-30,Home,2,BudgetSource,North,48.54,90.54,126,-5.09,110.75
T000792,S28,2025-03-02 00:00:00,Electronics,7,NorthStar,West,258.72,347.86,2,3.18, 101.14 
T001917,S03,2025-03-11 00:00:00,Grocery,5,FreshFarm,North,8.07,12.85,46,5.02,125.60 CAD
T002688,S06,2025-04-18 00:00:00,Electronics,7,NorthStar,East,259.57,342.69,136,5.12,146.45
T000396,S10,2025-03-05 00:00:00,Electronics,1,NorthStar,South,$231.01,291.41,82,4.72,117.26
T001345,S21,2025-06-24 00:00:00,Grocery,1,FreshFarm,North,7.64,11.5,131,3.75,81.44
T001210,S29,2025-02-05 00:00:00,Beauty,2,GlowWorks,West,17.48,39.52,27,3.68,85.63
T002730,S07,2025-02-21 00:00:00,APPAREL,2,StyleHub,North,28.47,62.32,18,4.91,116.47
T000461,S13,2025-04-24 00:00:00,Grocery,2,FreshFarm,East,7.53,12.21,135,3.09,$84.40
T000613,S18,2025-02-14 00:00:00,Electronics,3,NorthStar,West,272.07,350.03,20,7.05,246.92
T000215,S12,2025-01-27 00:00:00,Electronics,5,NorthStar,South,250.06,336.75,136,5.18,123.54
T000343,S19,2025-03-12 00:00:00,sports,4,ActivePro,South,56.57,107.68,49,3.01,68.49 CAD
T001274,S12,2025-04-23 00:00:00,Home,2,BudgetSource,South,43.98,85.5,10,3.39,99.7
T000697,S29,2025-04-26 00:00:00,Beauty,7,GlowWorks,West,17.87, 37.54 ,43,3.18,99.76
T002167,S18,2025-02-12 00:00:00,Grocery,2,FreshFarm,West,7.66,10.89,38,5.5,152.87
T001757,S01,2025-04-18 00:00:00,Electronics,3,NorthStar,East,268.25,$394.62,148,4.91,111.27
T000635,S04,2025-03-25 00:00:00,Beauty,3,GlowWorks,East,18.25,38.86,116,5.63,127.29
T001510,S20,2025-01-10 00:00:00,Electronics,3,NorthStar,South,247.25,346.24,55,6.31,148.72 CAD
T000947,S13,14-Jun-2025,Sports,2,ActivePro,East,42.19,81.88 CAD,146,6.34,167.66
T000295,S22,01/17/2025,Electronics,4,NorthStar,South,$219.47,303.47,109,4.21,117.73
T000488,S26,2025-01-16 00:00:00,Home,1,BudgetSource,West,39.73,77.03,51,3.48,107.5
T000720, S06 ,2025-01-19 00:00:00,Apparel,2,StyleHub,East,29.58,58.31,106,3.55,92.06
T002805,S01,2025-01-27 00:00:00,HOME,1,BudgetSource,East,45.95,82.4,56,4.07, 91.40 
T000620,S05,2025-05-13 00:00:00,Apparel,2,StyleHub,East,31.47 CAD,61.58,56,5.04,124.69
T001709,S20,2025-05-15 00:00:00,Beauty,3,GlowWorks,South,19.15,46.84,62,2.67,73.5
T002678,Store-06,2025-05-12 00:00:00,Electronics,1,NorthStar,East,272.79,353.41,122,4.16,109.25
T000068,S02,2025-06-10 00:00:00,Sports,1,ActivePro,South,52.19,100.53,147,-3.93,148.39
T001232,S13,2025-02-21 00:00:00,Grocery,3,freshfarm,East,7.68,10.91,36,3.62,97.08
T002242,S11,2025-02-09 00:00:00,Grocery,4,FreshFarm,South,,12.49,155,3.94,115.45
T001850,S29,2025-05-27 00:00:00,Home,5,BudgetSource,West,45.50,85.86,58,5.16,167.99
T000754,S27,2025-01-02 00:00:00,Electronics,6,NorthStar,West,252.96,343.94,60,4.55,128.85
T002810,S12,2025-02-22 00:00:00,Home,1,BudgetSource,South,46.11,86.97,70,5.27,102.94
T002571,S13,03/20/2025,Home,6,BudgetSource,East,45.26,88.52,34,6.31,131.11 CAD
T002312,S10,2025-04-18 00:00:00,GROCERIES,5,FreshFarm,South,9.11 CAD,13.26,44,4.62,100.77
T000256, S21 ,2025-01-27 00:00:00,Home,4,BudgetSource,North,42.63, 80.96 ,49,4.45,124.03
T001700,S04,2025-01-25 00:00:00,Grocery,1,FreshFarm,East,7.73,11.47,131,4.23,121.34
T001921,Store-18,2025-05-04 00:00:00,Electronics,2,NorthStar,West,242.69,313.8,62,-2.37,101.35
T002199,S26,28-Apr-2025,Grocery,3,FreshFarm,West,8.69,13.43,56,6.66,186.08
T001842,S03,2025-02-12 00:00:00,sports,2,ActivePro,North,51.08,107.09,68,5.5,136.31
T000334,S29,2025-03-30 00:00:00,Home,4,BudgetSource,West,40.87 CAD,71.78,49,5.09,135.2
T001049,S21,2025-06-02 00:00:00,GROCERIES,3,FreshFarm,North,7.24,11.38,69,3.65,85.99
T001690,S17,2025-05-15 00:00:00,Apparel,7,StyleHub,North,29.52 CAD,58.78,124,4.19,106.73
T002450,S14,2025-03-14 00:00:00,Beauty,2,GlowWorks,West,16.07,37.39,15,3.49,97.96
T000215,S12,2025-01-27 00:00:00,Electronics,5,NorthStar,South,250.06,336.75,136,5.18,123.54
T002216,S13,2025-04-21 00:00:00,Apparel,3,StyleHub,East,26.97,52.73,83,5.68,$141.56
T000891,S27,2025-06-12 00:00:00,Electronics,-2,NorthStar,West,329.17,423.47,24,4.53,120.36 CAD
T001071,S03,06/09/2025,Apparel,6,StyleHub,North,$29.73,65.27,75,5.22,147.34
T002027,S22,26-Jan-2025,Home,2,budgetsource,South,48.82,85.89,64,5.81,137.65
T001234,S17,2025-06-05 00:00:00,Grocery,1,FreshFarm,North,6.22,10.19,97,2.37,62.34
T000988,S16,2025-04-05 00:00:00,Grocery,2,FreshFarm,South,$8.93,13.93,112,4.21,114.48
T001127,S11,2025-02-22 00:00:00,Beauty,1,GlowWorks,South,18.5,39.07,55,4.36,115.36
T002660,S10,2025-04-29 00:00:00,Electronics,4,NorthStar,South,265.07,347.11,67,5.11,131.23
T002270,S16,2025-02-14 00:00:00,Electronics,2,NorthStar,South,267.54,316.46,67,5.1,132.35
T000149,S11,2025-02-21 00:00:00,Sports,2,ActivePro,South,56.89,105.84,113,3.22,87.15
T002358,S27,2025-06-11 00:00:00,Electronics,1,NorthStar,West,282.64,334.75,22,3.62,91.42
T001458,S13,2025-02-22 00:00:00,Home,2,BudgetSource,East,41.92,77.24,61,2.52,67.33
T000907,S25,2025-02-13 00:00:00,Sports,2,ActivePro,West,55.74,107.29,51,5.6,198.19
T002675,Store-07,27-Jan-2025,Beauty,4,GlowWorks,North,19.53,47.81,28,3.12,65.32
T000456,S21,2025-01-09 00:00:00,Electronics,4,NorthStar,North,217.78,308.81,22,4.65,130.8
T000983,S12,,Electronics,2,NorthStar,South,292.36,402.65,18,4.46,116.93
T001099,S11,2025-06-28 00:00:00,Home,3,BudgetSource,South,$47.12,90.82,94,3.22,73.45
T001201,S24,2025-05-29 00:00:00,Home,1,BudgetSource,West,48.07, 87.44 ,50,4.87,125.17
T002850,S26,2025-06-20 00:00:00,Grocery,2,FreshFarm,West,$7.24,10.6,12,3.54,91.23
T000725,S22,2025-01-30 00:00:00,Grocery,2,FreshFarm,South,nan,11.59 CAD,106,4.19,117.45
T000174,S06,2025-01-05 00:00:00,Home,2,BudgetSource,East,43.75,76.62,28,4.44,107.14
T001625,S03,2025-01-05 00:00:00,Apparel,1,StyleHub,North,32.65,63.48,34,5.25,130.96
T001903,S09,2025-03-19 00:00:00,Beauty,1,GlowWorks,East,23.32,57.84 CAD,102,3.85,90.06
T002858,S03,2025-02-09 00:00:00,Home,1,BudgetSource,North,44.85,81.4,153,4.93,96.02
T002428,S21,2025-05-02 00:00:00,Beauty,1,GlowWorks,North,18.41,39.26,40,4.82,107.91
T000072,S23,2025-04-01 00:00:00,Sports,4,ActivePro,South,$56.05,112.23 CAD,13,5.79,$137.86
T002143,S05,2025-02-12 00:00:00,Sports,6,ActivePro,East,52.17,108.08 CAD,139,5.34,145.4
T001711,S17,2025-03-30 00:00:00,Grocery,1,FreshFarm,North,7.86,12.43,97,4.99,149.7
T002657,S25,04/13/2025,Home,2,BudgetSource,West,48.08,89.06,63,4.69,152.95
T001733,S12,2025-02-05 00:00:00,Grocery,3,FreshFarm,South,8.43,13.0,134,4.19,105.22
T000806,S06,2025-04-01 00:00:00,Apparel,2,StyleHub,East,24.78,50.86,unknown,4.88,109.23
T000481,S07,01-Apr-2025,Cosmetics,2,GlowWorks,North,$18.06,43.13,95,3.7,86.45
T000231,S09,02/25/2025,Electronics,3,NorthStar,East,258.35,368.22,47,2.58,61.09
T002288,S19,2025-03-15 00:00:00,Electronics,-2,NorthStar,South,263.11,341.71,-6,2.89,90.7
T001558,S29,03/12/2025,Grocery,4,FreshFarm,West,6.74,9.92,13,3.78,$123.75
T000452,S10,2025-04-12 00:00:00,Electronics,2,NorthStar,South,211.36,281.89,69,4.28,109.93
