transaction_id,store_id,sale_date,product_category,quantity,supplier,region,unit_cost,unit_price,inventory_level,labour_hours,labour_cost,revenue,cogs,gross_profit
T001303,S19,2025-01-06,Clothing,2.0,StyleHub,South,27.26,55.32,87.0,3.29,89.68,110.64,54.52,-33.56000000000001
T000828,S28,2025-01-14,Beauty,1.0,GlowWorks,West,15.93,37.4,25.0,4.08,116.66,37.4,15.93,-95.19
T002146,S06,2025-01-06,Home Goods,2.0,BudgetSource,East,47.46,83.14,144.0,4.28,89.09,166.28,94.92,-17.730000000000004
T001548,S04,2025-06-01,Sports,3.0,ActivePro,East,51.45,91.78,88.0,3.52,84.3,275.34000000000003,154.35000000000002,36.69000000000001
T002304,S01,2025-06-13,Beauty,2.0,GlowWorks,East,19.59,43.74,85.0,5.2,108.74,87.48,39.18,-60.43999999999999
T001792,S23,2025-01-10,Sports,3.0,ActivePro,South,55.19,96.37,21.0,5.18,97.07,289.11,165.57,26.470000000000027
T001803,S08,2025-06-03,Electronics,3.0,NorthStar,South,219.75,307.87,156.0,5.24,132.75,923.61,659.25,131.61
T000518,S15,2025-02-14,Beauty,1.0,GlowWorks,East,18.45,41.3,21.0,4.74,108.7,41.3,18.45,-85.85000000000001
T000273,S12,2025-05-22,Home Goods,1.0,BudgetSource,South,45.48,88.67,15.0,6.66,195.42,88.67,45.48,-152.23
T001719,S09,2025-01-11,Grocery,4.0,FreshFarm,East,7.05,11.23,64.0,4.59,102.15,44.92,28.2,-85.43
T000683,S14,2025-02-14,Beauty,3.0,GlowWorks,West,15.77,37.28,54.0,2.17,56.15,111.84,47.31,8.380000000000003
T001915,S27,2025-03-25,Sports,4.0,ActivePro,West,51.91,92.08,20.0,5.38,159.75,368.32,207.64,0.9300000000000068
T002640,S21,2025-06-01,Sports,3.0,ActivePro,North,57.29,117.06,56.0,5.29,136.15,351.18,171.87,43.16
T001873,S14,2025-01-25,Clothing,4.0,StyleHub,West,27.03,50.95,40.0,5.47,160.08,203.8,108.12,-64.4
T001685,S05,2025-02-26,Clothing,1.0,StyleHub,East,24.95,52.55,44.0,3.1,69.58,52.55,24.95,-41.980000000000004
T002755,S28,2025-04-05,Clothing,2.0,StyleHub,West,29.92,57.1,16.0,3.94,106.67,114.2,59.84,-52.31
T001286,S29,2025-01-22,Beauty,2.0,GlowWorks,West,17.65,38.88,11.0,4.25,131.26,77.76,35.3,-88.79999999999998
T001989,S16,2025-01-09,Electronics,3.0,NorthStar,South,225.05,324.63,47.0,5.22,162.34,973.89,675.1500000000001,136.3999999999999
T000107,S25,2025-06-23,Beauty,3.0,GlowWorks,West,16.83,37.59,34.0,3.09,84.71,112.77000000000001,50.489999999999995,-22.42999999999998
T000740,S16,2025-06-27,Grocery,3.0,FreshFarm,South,8.22,12.2,154.0,5.24,138.02,36.599999999999994,24.660000000000004,-126.08000000000001
T000288,S04,2025-06-23,Home Goods,3.0,BudgetSource,East,43.3,87.18,134.0,5.64,133.82,261.54,129.89999999999998,-2.17999999999995
T002361,S26,2025-05-01,Clothing,2.0,StyleHub,West,27.23,57.06,16.0,3.94,139.14,114.12,54.46,-79.47999999999999
T001317,S05,2025-06-29,Grocery,2.0,FreshFarm,East,8.13,13.36,106.0,5.43,125.27,26.72,16.26,-114.81
T001020,S05,2025-02-23,Electronics,3.0,NorthStar,East,209.89,268.79,37.0,4.38,120.75,806.3700000000001,629.67,55.95000000000016
T000933,S15,2025-05-03,Clothing,6.0,StyleHub,East,27.53,60.89,153.0,2.79,76.3,365.34000000000003,165.18,123.86000000000003
T000548,S12,2025-01-04,Electronics,3.0,NorthStar,South,177.04,239.73,107.0,4.23,104.29,719.1899999999999,531.12,83.77999999999993
T000308,S22,2025-05-28,Grocery,4.0,FreshFarm,South,8.27,12.63,151.0,3.99,117.99,50.52,33.08,-100.54999999999998
T000521,S14,2025-04-20,Grocery,2.0,FreshFarm,West,7.89,11.74,39.0,5.42,183.35,23.48,15.78,-175.65
T002038,S11,2025-06-20,Electronics,4.0,NorthStar,South,245.84,328.02,108.0,4.52,119.04,1312.08,983.36,209.6799999999999
T002339,S30,2025-01-04,Grocery,7.0,FreshFarm,West,9.39,14.09,32.0,3.05,81.67,98.63,65.73,-48.77000000000001
T000602,S16,2025-03-21,Electronics,6.0,NorthStar,South,221.06,278.97,95.0,4.05,112.61,1673.8200000000002,1326.3600000000001,234.85000000000002
T002440,S26,2025-01-19,Clothing,2.0,StyleHub,West,30.89,58.15,49.0,6.16,146.58,116.3,61.78,-92.06000000000002
T001032,S02,2025-06-23,Clothing,5.0,StyleHub,South,29.73,62.59,145.0,4.3,98.61,312.95000000000005,148.65,65.69000000000004
T000277,S06,2025-01-27,Beauty,1.0,GlowWorks,East,18.4,39.62,83.0,6.58,172.7,39.62,18.4,-151.48
T000435,S17,2025-03-06,Grocery,1.0,FreshFarm,North,7.36,10.6,33.0,4.22,112.53,10.6,7.36,-109.29
T002394,S30,2025-01-19,Grocery,2.0,FreshFarm,West,8.28,11.58,47.0,5.71,155.39,23.16,16.56,-148.79
T002656,S11,2025-04-22,Clothing,5.0,StyleHub,South,25.84,53.42,33.0,5.05,143.07,267.1,129.2,-5.169999999999959
T002838,S02,2025-03-05,Grocery,5.0,FreshFarm,South,8.25,13.58,87.0,5.1,129.37,67.9,41.25,-102.72
T000224,S01,2025-03-22,Beauty,8.0,GlowWorks,East,17.24,37.82,78.0,4.18,103.81,302.56,137.92,60.83000000000001
T002585,S19,2025-04-14,Sports,6.0,ActivePro,South,53.28,103.18,49.0,5.15,116.63,619.08,319.68,182.77000000000004
T001539,S22,2025-04-02,Home Goods,1.0,BudgetSource,South,47.42,95.75,38.0,5.5,133.5,95.75,47.42,-85.17
T002230,S13,2025-06-07,Sports,3.0,ActivePro,East,53.45,100.78,21.0,3.92,114.26,302.34000000000003,160.35000000000002,27.730000000000004
T002136,S26,2025-06-29,Clothing,1.0,StyleHub,West,30.79,61.27,26.0,2.93,84.86,61.27,30.79,-54.379999999999995
T001620,S17,2025-03-14,Beauty,2.0,GlowWorks,North,15.33,32.92,133.0,5.74,122.18,65.84,30.66,-87.0
T001631,S07,2025-05-31,Electronics,4.0,NorthStar,North,262.13,367.99,50.0,4.38,111.26,1471.96,1048.52,312.18000000000006
T000900,S06,2025-03-25,Beauty,6.0,GlowWorks,East,18.97,44.13,128.0,3.68,99.03,264.78000000000003,113.82,51.930000000000035
T002817,S29,2025-04-25,Beauty,6.0,GlowWorks,West,18.75,43.89,48.0,4.25,127.2,263.34000000000003,112.5,23.64000000000003
T002882,S19,2025-02-08,Grocery,3.0,FreshFarm,South,7.04,10.79,95.0,6.71,154.98,32.37,21.12,-143.73
T002359,S17,2025-06-22,Grocery,6.0,FreshFarm,North,8.99,14.32,97.0,5.52,126.16,85.92,53.94,-94.17999999999999
T000502,S08,2025-05-04,Electronics,3.0,NorthStar,South,240.48,306.7,153.0,4.73,118.83,920.0999999999999,721.4399999999999,79.82999999999997
T001647,S23,2025-02-06,Beauty,2.0,GlowWorks,South,20.41,47.16,116.0,3.57,103.46,94.32,40.82,-49.96
T001443,S02,2025-02-05,Electronics,2.0,NorthStar,South,231.42,312.01,103.0,5.84,155.43,624.02,462.84,5.75
T000089,S29,2025-01-19,Electronics,1.0,NorthStar,West,235.43,312.45,32.0,4.54,143.44,312.45,235.43,-66.42000000000002
T000893,S27,2025-05-22,Beauty,1.0,GlowWorks,West,18.75,41.65,42.0,4.98,137.68,41.65,18.75,-114.78
T001315,S06,2025-04-11,Electronics,3.0,NorthStar,East,235.94,312.92,83.0,4.8,101.63,938.76,707.8199999999999,129.31000000000006
T001777,S06,2025-04-16,Beauty,1.0,GlowWorks,East,17.26,39.47,110.0,4.72,128.29,39.47,17.26,-106.08
T001001,S09,2025-01-30,Grocery,9.0,FreshFarm,East,7.33,10.72,110.0,5.91,125.63,96.48,65.97,-95.11999999999999
T000042,S12,2025-05-10,Grocery,4.0,FreshFarm,South,9.27,13.51,154.0,4.22,90.92,54.04,37.08,-73.96000000000001
T000076,S20,2025-02-24,Electronics,4.0,NorthStar,South,240.26,297.57,35.0,4.9,95.93,1190.28,961.04,133.31
T001384,S18,2025-02-09,Sports,3.0,ActivePro,West,51.92,117.18,59.0,7.53,185.88,351.54,155.76,9.900000000000034
T001008,S15,2025-05-04,Grocery,5.0,FreshFarm,East,7.28,10.42,131.0,4.78,134.24,52.1,36.4,-118.54
T002917,S05,2025-06-22,Home Goods,2.0,BudgetSource,East,42.45,75.79,52.0,5.66,142.08,151.58,84.9,-75.4
T000317,S21,2025-06-03,Electronics,3.0,NorthStar,North,276.17,363.18,82.0,3.67,90.0,1089.54,828.51,171.02999999999997
T000231,S09,2025-02-25,Electronics,3.0,NorthStar,East,258.35,368.22,47.0,2.58,61.09,1104.66,775.0500000000001,268.52
T000659,S25,2025-02-10,Grocery,2.0,FreshFarm,West,8.9,15.72,34.0,4.89,140.31,31.44,17.8,-126.67
T002070,S17,2025-06-09,Clothing,2.0,StyleHub,North,27.74,59.5,148.0,2.26,47.36,119.0,55.48,16.160000000000004
T000512,S14,2025-04-19,Electronics,7.0,NorthStar,West,245.84,310.28,29.0,5.41,156.85,2171.96,1720.88,294.2299999999999
T002615,S22,2025-06-21,Electronics,1.0,NorthStar,South,295.93,429.44,68.0,5.14,157.18,429.44,295.93,-23.670000000000016
T002171,S08,2025-05-20,Electronics,4.0,NorthStar,South,213.0,298.74,149.0,5.32,142.04,1194.96,852.0,200.92000000000004
T001037,S02,2025-03-06,Grocery,3.0,FreshFarm,South,8.73,12.74,38.0,5.78,140.78,38.22,26.19,-128.75
T002433,S27,2025-05-07,Clothing,2.0,StyleHub,West,28.85,56.37,0.0,5.7,154.62,112.74,57.7,-99.58000000000001
T000242,S03,2025-05-01,Grocery,2.0,FreshFarm,North,7.01,12.3,51.0,3.4,76.77,24.6,14.02,-66.19
T002035,S25,2025-03-06,Home Goods,2.0,BudgetSource,West,55.74,111.58,20.0,3.15,96.71,223.16,111.48,14.969999999999999
T000019,S02,2025-04-12,Home Goods,3.0,BudgetSource,South,51.47,91.54,17.0,4.56,143.75,274.62,154.41,-23.539999999999992
T002183,S21,2025-01-26,Clothing,1.0,StyleHub,North,26.77,54.73,139.0,4.46,86.16,54.73,26.77,-58.2
T000164,S17,2025-06-29,Electronics,2.0,NorthStar,North,236.77,338.81,112.0,2.6,62.94,677.62,473.54,141.14
T002781,S04,2025-01-15,Home Goods,2.0,BudgetSource,East,42.01,80.06,136.0,4.17,114.5,160.12,84.02,-38.39999999999999
T002332,S08,2025-01-15,Home Goods,1.0,BudgetSource,South,42.85,89.66,139.0,3.62,89.48,89.66,42.85,-42.67000000000001
T001135,S11,2025-03-02,Grocery,1.0,FreshFarm,South,7.67,11.81,111.0,4.21,93.07,11.81,7.67,-88.92999999999999
T000801,S22,2025-02-23,Clothing,5.0,StyleHub,South,31.68,58.71,104.0,4.11,96.0,293.55,158.4,39.150000000000006
T000342,S05,2025-04-16,Sports,2.0,ActivePro,East,40.64,82.2,149.0,2.72,70.95,164.4,81.28,12.170000000000002
T001044,S17,2025-05-17,Electronics,2.0,NorthStar,North,237.31,321.06,85.0,4.74,109.54,642.12,474.62,57.959999999999994
T000332,S01,2025-01-10,Home Goods,4.0,BudgetSource,East,44.88,92.67,121.0,4.57,121.3,370.68,179.52,69.86
T002226,S11,2025-03-29,Beauty,6.0,GlowWorks,South,15.74,38.16,49.0,4.25,102.84,228.95999999999998,94.44,31.67999999999998
T001086,S01,2025-06-22,Sports,2.0,ActivePro,East,56.99,113.08,104.0,4.06,97.28,226.16,113.98,14.899999999999991
T001990,S17,2025-05-21,Grocery,9.0,FreshFarm,North,7.71,11.37,124.0,5.23,136.88,102.33,69.39,-103.94
T002381,S21,2025-01-21,Grocery,1.0,FreshFarm,North,8.81,13.04,138.0,3.06,97.85,13.04,8.81,-93.61999999999999
T000928,S18,2025-03-30,Electronics,1.0,NorthStar,West,207.02,258.92,13.0,4.31,149.5,258.92,207.02,-97.6
T000027,S26,2025-01-02,Home Goods,2.0,BudgetSource,West,45.17,91.68,26.0,5.26,183.36,183.36,90.34,-90.34
T001830,S04,2025-04-11,Electronics,1.0,NorthStar,East,260.64,330.54,146.0,4.53,96.95,330.54,260.64,-27.04999999999997
T001734,S22,2025-03-04,Beauty,3.0,GlowWorks,South,18.84,44.63,31.0,3.94,105.43,133.89000000000001,56.519999999999996,-28.059999999999988
T002430,S08,2025-01-04,Electronics,2.0,NorthStar,South,183.53,255.78,114.0,3.96,101.31,511.56,367.06,43.19
T002393,S02,2025-06-26,Grocery,7.0,FreshFarm,South,7.71,11.0,119.0,3.67,108.74,77.0,53.97,-85.71
T000615,S01,2025-05-01,Sports,4.0,ActivePro,East,51.56,88.07,117.0,2.23,55.16,352.28,206.24,90.87999999999997
T001084,S06,2025-02-21,Electronics,4.0,NorthStar,East,204.45,310.65,154.0,4.0,100.01,1242.6,817.8,324.78999999999996
T000391,S28,2025-04-06,Clothing,6.0,StyleHub,West,26.02,54.47,54.0,3.87,131.94,326.82,156.12,38.75999999999999
T001030,S16,2025-05-10,Electronics,4.0,NorthStar,South,240.36,342.95,80.0,4.64,146.23,1371.8,961.44,264.1299999999999
T000724,S05,2025-01-30,Grocery,3.0,FreshFarm,East,7.26,10.77,88.0,3.63,93.65,32.31,21.78,-83.12
T000305,S15,2025-04-27,Home Goods,7.0,BudgetSource,East,46.82,95.03,69.0,5.15,116.88,665.21,327.74,220.59000000000003
T000709,S27,2025-06-28,Clothing,1.0,StyleHub,West,27.61,59.17,23.0,5.27,143.67,59.17,27.61,-112.10999999999999
T001160,S10,2025-02-14,Home Goods,5.0,BudgetSource,South,53.23,96.29,111.0,4.25,96.14,481.45000000000005,266.15,119.16000000000007
T000809,S16,2025-02-17,Grocery,1.0,FreshFarm,South,7.9,13.31,12.0,2.96,61.86,13.31,7.9,-56.45
T001263,S30,2025-03-04,Grocery,5.0,FreshFarm,West,8.64,12.98,7.0,4.69,161.53,64.9,43.2,-139.82999999999998
T001482,S22,2025-06-04,Beauty,9.0,GlowWorks,South,20.91,51.73,73.0,3.79,108.75,465.57,188.19,168.63
T001162,S14,2025-02-05,Grocery,2.0,FreshFarm,West,8.08,13.25,36.0,3.71,124.62,26.5,16.16,-114.28
T001985,S14,2025-06-01,Electronics,2.0,NorthStar,West,319.05,424.08,52.0,2.14,69.84,848.16,638.1,140.21999999999994
T000921,S28,2025-01-14,Clothing,1.0,StyleHub,West,25.37,49.94,28.0,4.84,138.32,49.94,25.37,-113.75
T002049,S17,2025-02-04,Home Goods,2.0,BudgetSource,North,40.82,79.3,149.0,3.53,89.19,158.6,81.64,-12.230000000000004
T000033,S29,2025-03-17,Clothing,3.0,StyleHub,West,32.53,62.2,21.0,6.14,199.95,186.60000000000002,97.59,-110.93999999999997
T001379,S01,2025-05-19,Electronics,4.0,NorthStar,East,193.66,262.13,140.0,6.69,158.99,1048.52,774.64,114.88999999999999
T000940,S13,2025-06-13,Grocery,1.0,FreshFarm,East,7.48,12.5,29.0,5.11,144.05,12.5,7.48,-139.03
T001743,S16,2025-02-14,Home Goods,4.0,BudgetSource,South,51.99,92.91,110.0,4.31,103.06,371.64,207.96,60.619999999999976
T000177,S16,2025-01-23,Grocery,4.0,FreshFarm,South,7.63,11.79,133.0,3.1,75.43,47.16,30.52,-58.790000000000006
T001751,S27,2025-05-04,Grocery,2.0,FreshFarm,West,8.2,13.41,8.0,5.38,140.08,26.82,16.4,-129.66000000000003
T001682,S24,2025-03-14,Home Goods,3.0,BudgetSource,West,42.83,81.31,0.0,4.63,151.65,243.93,128.49,-36.21000000000001
T002166,S28,2025-04-03,Home Goods,7.0,BudgetSource,West,49.78,95.82,6.0,3.53,89.3,670.74,348.46000000000004,232.97999999999996
T002936,S20,2025-03-11,Clothing,2.0,StyleHub,South,28.28,58.0,40.0,3.08,99.92,116.0,56.56,-40.480000000000004
T002115,S10,2025-04-10,Clothing,2.0,StyleHub,South,28.03,49.46,104.0,4.25,105.65,98.92,56.06,-62.790000000000006
T001772,S23,2025-05-13,Clothing,1.0,StyleHub,South,27.7,59.32,100.0,5.1,119.59,59.32,27.7,-87.97
T002265,S03,2025-03-29,Electronics,2.0,NorthStar,North,282.17,384.37,62.0,4.84,136.24,768.74,564.34,68.15999999999997
T000561,S13,2025-06-05,Grocery,5.0,FreshFarm,East,8.71,13.48,93.0,3.57,84.11,67.4,43.550000000000004,-60.26
T000264,S18,2025-04-24,Electronics,1.0,NorthStar,West,274.63,346.71,42.0,4.9,157.88,346.71,274.63,-85.80000000000001
T001009,S17,2025-05-23,Beauty,1.0,GlowWorks,North,20.86,46.74,29.0,3.01,72.94,46.74,20.86,-47.059999999999995
T001607,S12,2025-06-10,Electronics,1.0,NorthStar,South,250.53,325.11,107.0,5.69,136.22,325.11,250.53,-61.639999999999986
T002108,S08,2025-04-23,Beauty,6.0,GlowWorks,South,19.25,42.61,47.0,4.61,108.42,255.66,115.5,31.739999999999995
T002704,S04,2025-05-18,Home Goods,1.0,BudgetSource,East,50.54,96.12,30.0,3.81,85.46,96.12,50.54,-39.87999999999999
T002871,S06,2025-05-03,Beauty,4.0,GlowWorks,East,17.97,39.32,99.0,4.8,115.14,157.28,71.88,-29.739999999999995
T000792,S28,2025-03-02,Electronics,7.0,NorthStar,West,258.72,347.86,2.0,3.18,101.14,2435.02,1811.0400000000002,522.8399999999998
T001917,S03,2025-03-11,Grocery,5.0,FreshFarm,North,8.07,12.85,46.0,5.02,125.6,64.25,40.35,-101.69999999999999
T002688,S06,2025-04-18,Electronics,7.0,NorthStar,East,259.57,342.69,136.0,5.12,146.45,2398.83,1816.99,435.38999999999993
T000396,S10,2025-03-05,Electronics,1.0,NorthStar,South,231.01,291.41,82.0,4.72,117.26,291.41,231.01,-56.85999999999997
T001345,S21,2025-06-24,Grocery,1.0,FreshFarm,North,7.64,11.5,131.0,3.75,81.44,11.5,7.64,-77.58
T001210,S29,2025-02-05,Beauty,2.0,GlowWorks,West,17.48,39.52,27.0,3.68,85.63,79.04,34.96,-41.54999999999999
T002730,S07,2025-02-21,Clothing,2.0,StyleHub,North,28.47,62.32,18.0,4.91,116.47,124.64,56.94,-48.769999999999996
T000461,S13,2025-04-24,Grocery,2.0,FreshFarm,East,7.53,12.21,135.0,3.09,84.4,24.42,15.06,-75.04
T000613,S18,2025-02-14,Electronics,3.0,NorthStar,West,272.07,350.03,20.0,7.05,246.92,1050.09,816.21,-13.040000000000106
T000215,S12,2025-01-27,Electronics,5.0,NorthStar,South,250.06,336.75,136.0,5.18,123.54,1683.75,1250.3,309.91
T000343,S19,2025-03-12,Sports,4.0,ActivePro,South,56.57,107.68,49.0,3.01,68.49,430.72,226.28,135.95000000000005
T001274,S12,2025-04-23,Home Goods,2.0,BudgetSource,South,43.98,85.5,10.0,3.39,99.7,171.0,87.96,-16.659999999999997
T000697,S29,2025-04-26,Beauty,7.0,GlowWorks,West,17.87,37.54,43.0,3.18,99.76,262.78,125.09,37.929999999999964
T002167,S18,2025-02-12,Grocery,2.0,FreshFarm,West,7.66,10.89,38.0,5.5,152.87,21.78,15.32,-146.41
T001757,S01,2025-04-18,Electronics,3.0,NorthStar,East,268.25,394.62,148.0,4.91,111.27,1183.8600000000001,804.75,267.84000000000015
T000635,S04,2025-03-25,Beauty,3.0,GlowWorks,East,18.25,38.86,116.0,5.63,127.29,116.58,54.75,-65.46000000000001
T001510,S20,2025-01-10,Electronics,3.0,NorthStar,South,247.25,346.24,55.0,6.31,148.72,1038.72,741.75,148.25000000000003
T000947,S13,2025-06-14,Sports,2.0,ActivePro,East,42.19,81.88,146.0,6.34,167.66,163.76,84.38,-88.28
T000295,S22,2025-01-17,Electronics,4.0,NorthStar,South,219.47,303.47,109.0,4.21,117.73,1213.88,877.88,218.2700000000001
T000488,S26,2025-01-16,Home Goods,1.0,BudgetSource,West,39.73,77.03,51.0,3.48,107.5,77.03,39.73,-70.19999999999999
T000720,S06,2025-01-19,Clothing,2.0,StyleHub,East,29.58,58.31,106.0,3.55,92.06,116.62,59.16,-34.599999999999994
T002805,S01,2025-01-27,Home Goods,1.0,BudgetSource,East,45.95,82.4,56.0,4.07,91.4,82.4,45.95,-54.95
T000620,S05,2025-05-13,Clothing,2.0,StyleHub,East,31.47,61.58,56.0,5.04,124.69,123.16,62.94,-64.47
T001709,S20,2025-05-15,Beauty,3.0,GlowWorks,South,19.15,46.84,62.0,2.67,73.5,140.52,57.449999999999996,9.570000000000022
T002678,S06,2025-05-12,Electronics,1.0,NorthStar,East,272.79,353.41,122.0,4.16,109.25,353.41,272.79,-28.629999999999995
T001232,S13,2025-02-21,Grocery,3.0,FreshFarm,East,7.68,10.91,36.0,3.62,97.08,32.730000000000004,23.04,-87.38999999999999
T001850,S29,2025-05-27,Home Goods,5.0,BudgetSource,West,45.5,85.86,58.0,5.16,167.99,429.3,227.5,33.81
T000754,S27,2025-01-02,Electronics,6.0,NorthStar,West,252.96,343.94,60.0,4.55,128.85,2063.64,1517.76,417.02999999999986
T002810,S12,2025-02-22,Home Goods,1.0,BudgetSource,South,46.11,86.97,70.0,5.27,102.94,86.97,46.11,-62.08
T002571,S13,2025-03-20,Home Goods,6.0,BudgetSource,East,45.26,88.52,34.0,6.31,131.11,531.12,271.56,128.45
T002312,S10,2025-04-18,Grocery,5.0,FreshFarm,South,9.11,13.26,44.0,4.62,100.77,66.3,45.55,-80.02
T000256,S21,2025-01-27,Home Goods,4.0,BudgetSource,North,42.63,80.96,49.0,4.45,124.03,323.84,170.52,29.289999999999964
T001700,S04,2025-01-25,Grocery,1.0,FreshFarm,East,7.73,11.47,131.0,4.23,121.34,11.47,7.73,-117.60000000000001
T002199,S26,2025-04-28,Grocery,3.0,FreshFarm,West,8.69,13.43,56.0,6.66,186.08,40.29,26.07,-171.86
T001842,S03,2025-02-12,Sports,2.0,ActivePro,North,51.08,107.09,68.0,5.5,136.31,214.18,102.16,-24.289999999999992
T000334,S29,2025-03-30,Home Goods,4.0,BudgetSource,West,40.87,71.78,49.0,5.09,135.2,287.12,163.48,-11.559999999999974
T001049,S21,2025-06-02,Grocery,3.0,FreshFarm,North,7.24,11.38,69.0,3.65,85.99,34.14,21.72,-73.57
T001690,S17,2025-05-15,Clothing,7.0,StyleHub,North,29.52,58.78,124.0,4.19,106.73,411.46000000000004,206.64,98.09000000000005
T002450,S14,2025-03-14,Beauty,2.0,GlowWorks,West,16.07,37.39,15.0,3.49,97.96,74.78,32.14,-55.31999999999999
T002216,S13,2025-04-21,Clothing,3.0,StyleHub,East,26.97,52.73,83.0,5.68,141.56,158.19,80.91,-64.28
T001071,S03,2025-06-09,Clothing,6.0,StyleHub,North,29.73,65.27,75.0,5.22,147.34,391.62,178.38,65.9
T002027,S22,2025-01-26,Home Goods,2.0,BudgetSource,South,48.82,85.89,64.0,5.81,137.65,171.78,97.64,-63.510000000000005
T001234,S17,2025-06-05,Grocery,1.0,FreshFarm,North,6.22,10.19,97.0,2.37,62.34,10.19,6.22,-58.370000000000005
T000988,S16,2025-04-05,Grocery,2.0,FreshFarm,South,8.93,13.93,112.0,4.21,114.48,27.86,17.86,-104.48
T001127,S11,2025-02-22,Beauty,1.0,GlowWorks,South,18.5,39.07,55.0,4.36,115.36,39.07,18.5,-94.78999999999999
T002660,S10,2025-04-29,Electronics,4.0,NorthStar,South,265.07,347.11,67.0,5.11,131.23,1388.44,1060.28,196.9300000000001
T002270,S16,2025-02-14,Electronics,2.0,NorthStar,South,267.54,316.46,67.0,5.1,132.35,632.92,535.08,-34.510000000000076
T000149,S11,2025-02-21,Sports,2.0,ActivePro,South,56.89,105.84,113.0,3.22,87.15,211.68,113.78,10.75
T002358,S27,2025-06-11,Electronics,1.0,NorthStar,West,282.64,334.75,22.0,3.62,91.42,334.75,282.64,-39.30999999999999
T001458,S13,2025-02-22,Home Goods,2.0,BudgetSource,East,41.92,77.24,61.0,2.52,67.33,154.48,83.84,3.309999999999988
